c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	20	32	87	87	73	36
i	29	19	15	39	28	24
i	6	10	61	77	34	28
i	96	48	83	17	76	73
i	97	1	66	97	91	28
i	50	14	79	70	69	93
i	14	71	74	25	21	98
i	14	45	18	43	5	58
i	79	30	81	53	25	83
i	31	70	68	6	15	69
i	13	24	39	82	39	35
i	86	3	13	21	74	44
i	6	67	56	10	67	71
i	27	99	48	76	5	82
i	98	43	53	92	14	66
i	85	10	61	98	93	40
i	94	9	2	92	44	97
i	94	11	61	43	50	99
i	13	71	86	82	39	35
i	76	21	86	95	91	50
i	96	15	44	15	59	21
i	14	1	7	14	6	66
i	58	32	93	4	42	6
i	94	1	13	10	64	56
i	68	17	56	27	25	70
c
c
W	679	382	675
c	end of file
