c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	65	77	32	32	18	81
i	56	99	95	19	8	4
i	39	43	47	10	20	14
i	74	26	61	48	54	51
i	1	58	70	1	48	32
i	94	5	23	14	13	37
i	60	64	20	71	67	44
i	16	47	20	45	7	7
i	56	7	5	30	2	60
i	95	34	32	70	79	33
i	55	13	28	24	81	77
i	15	32	42	3	3	73
i	63	24	13	67	24	28
i	50	22	71	99	28	5
i	49	41	4	43	65	17
i	97	69	73	10	5	52
i	11	73	19	9	8	14
i	62	26	76	11	65	14
i	55	13	28	71	81	77
i	55	100	12	21	17	29
i	96	15	91	15	59	21
i	1	88	94	1	46	53
i	86	7	68	32	70	34
i	38	45	57	1	8	100
i	5	7	93	17	15	60
c
c
W	647	518	587
c	end of file
