c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	25	37	92	92	78	41
i	70	60	56	80	69	65
i	84	88	92	55	65	59
i	37	36	71	58	17	61
i	71	75	40	71	65	2
i	89	53	71	9	8	85
i	27	31	87	38	34	11
i	14	45	18	43	5	58
i	54	5	56	28	100	58
i	8	47	45	83	92	46
i	31	89	4	100	57	53
i	85	49	12	20	73	43
i	22	83	72	26	83	87
i	57	82	31	6	35	12
i	56	48	11	50	72	24
i	54	79	30	67	62	9
i	29	44	37	27	79	32
i	82	46	96	78	85	34
i	31	89	4	100	57	53
i	9	54	19	28	24	83
i	12	78	7	31	22	84
i	79	66	72	79	24	84
i	70	44	52	16	54	18
i	91	98	10	7	61	53
i	4	6	92	16	14	59
c
c
W	596	716	589
c	end of file
