c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	90	2	57	57	43	6
i	72	62	11	35	71	20
i	7	64	15	78	88	82
i	41	40	75	62	68	65
i	62	19	31	62	9	93
i	76	40	5	96	95	72
i	54	11	67	18	14	91
i	65	96	69	94	56	56
i	80	31	29	54	26	84
i	98	37	88	73	82	36
i	25	83	98	94	51	47
i	1	18	28	89	89	59
i	50	11	100	54	11	15
i	47	19	68	96	25	2
i	68	13	76	62	84	89
i	33	5	56	46	88	35
i	35	97	43	33	32	38
i	84	1	51	33	40	89
i	25	83	98	94	51	47
i	49	94	59	68	64	23
i	91	57	86	10	1	63
i	75	62	15	75	67	27
i	66	40	48	12	50	14
i	94	1	60	57	11	56
i	92	94	80	4	2	94
c
c
W	740	540	707
c	end of file
