c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	10	22	77	77	63	26
i	36	26	75	99	35	84
i	25	29	80	43	53	47
i	52	4	39	26	32	29
i	58	15	27	58	5	89
i	85	49	67	5	4	81
i	53	10	13	64	13	37
i	65	96	22	47	9	9
i	33	31	82	7	79	84
i	6	45	96	34	90	97
i	44	2	17	13	70	66
i	97	61	71	32	32	2
i	20	81	70	24	81	85
i	73	98	47	22	51	28
i	47	92	55	41	63	68
i	9	81	32	69	64	11
i	75	90	83	73	25	78
i	77	41	91	26	80	82
i	44	2	17	13	70	66
i	81	26	91	100	96	55
i	96	62	91	15	6	68
i	88	75	81	88	33	40
i	14	35	96	7	98	9
i	29	36	48	45	99	91
i	95	44	83	7	5	97
c
c
W	656	577	776
c	end of file
