c	instance Type (null)
c
n	25
g	3
c	w1	w2	w3	v1	v2	v3
i	55	67	22	22	8	71
i	27	17	13	37	26	22
i	83	87	38	1	11	5
i	92	44	79	66	72	69
i	53	10	22	53	100	84
i	63	27	92	83	82	6
i	34	91	94	45	41	18
i	63	94	20	92	54	7
i	53	4	55	27	52	57
i	41	27	78	16	25	79
i	19	77	92	88	45	41
i	70	34	97	5	58	28
i	78	39	28	82	39	43
i	37	9	58	86	15	92
i	33	78	88	27	49	54
i	59	84	35	72	67	14
i	88	3	96	39	38	91
i	39	56	6	88	95	44
i	19	77	92	88	45	41
i	89	34	46	55	51	63
i	17	36	65	89	80	42
i	18	5	11	18	63	23
i	62	36	44	8	46	10
i	44	51	63	7	14	6
i	80	29	68	92	90	82
c
c
W	658	558	701
c	end of file
