c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	77	97	23	61
i	99	39	73	51
i	43	98	61	21
i	26	50	82	49
i	58	23	53	27
i	5	76	43	62
i	64	12	31	80
i	47	22	32	3
i	7	35	2	3
i	34	4	41	43
i	13	36	42	91
i	32	67	10	74
i	24	40	47	59
i	22	73	86	67
i	41	34	9	73
i	69	8	11	67
i	73	23	33	70
i	26	84	35	21
i	13	36	42	91
i	100	23	12	26
i	15	96	46	90
i	88	94	18	83
i	7	91	46	12
i	45	36	49	83
i	7	86	75	52
i	9	89	91	67
i	28	78	67	92
i	82	3	79	97
i	46	7	44	30
i	82	31	7	69
i	53	49	36	77
i	53	100	52	61
i	49	16	89	21
i	28	9	89	20
i	100	80	10	75
i	60	37	14	19
i	91	24	72	71
i	64	26	57	1
i	71	20	20	8
i	62	56	15	18
i	30	14	66	68
i	42	100	98	95
i	38	15	28	62
i	27	56	59	61
i	58	93	48	57
i	97	12	30	66
i	23	43	26	91
i	33	62	7	91
i	78	42	61	34
i	46	9	83	63
c
c
W	1193
c	end of file
