c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	37	57	83	21
i	60	100	34	12
i	88	43	6	66
i	36	13	92	12
i	75	40	70	44
i	53	71	38	10
i	31	79	98	47
i	45	73	30	1
i	5	33	100	1
i	47	17	7	9
i	89	65	18	20
i	49	84	80	44
i	83	99	6	18
i	82	80	93	27
i	48	41	16	80
i	79	65	68	24
i	44	94	4	41
i	46	51	55	41
i	89	65	18	20
i	54	77	66	33
i	78	12	9	6
i	66	72	96	14
i	44	75	30	96
i	98	89	55	36
i	6	85	27	51
i	66	99	48	24
i	42	92	81	6
i	33	54	30	48
i	2	10	47	33
i	40	89	65	27
i	59	55	42	83
i	85	85	84	46
i	91	11	31	16
i	88	16	96	27
i	5	85	68	33
i	29	59	83	88
i	22	55	3	2
i	36	51	82	26
i	31	80	80	68
i	71	12	24	74
i	25	9	61	63
i	42	53	98	95
i	83	13	73	60
i	12	41	44	46
i	69	4	59	68
i	91	6	24	13
i	74	94	77	42
i	59	88	86	70
i	33	44	16	89
i	29	45	66	99
c
c
W	1325
c	end of file
