c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	72	92	18	56
i	58	98	32	10
i	65	67	83	43
i	85	9	41	8
i	84	49	79	53
i	66	84	51	23
i	4	99	18	20
i	94	22	32	3
i	79	60	27	28
i	57	27	64	66
i	95	71	24	73
i	33	68	64	75
i	8	71	78	43
i	92	90	56	37
i	36	76	51	15
i	53	39	42	98
i	38	88	98	35
i	91	49	100	86
i	95	71	24	73
i	67	90	79	93
i	99	33	30	27
i	23	29	53	18
i	48	79	34	100
i	48	39	52	86
i	18	97	39	16
i	90	23	72	48
i	90	87	76	1
i	35	56	79	97
i	88	96	33	72
i	27	76	99	61
i	9	5	92	33
i	27	74	26	88
i	57	24	97	82
i	23	51	31	15
i	67	47	77	42
i	100	77	54	59
i	76	9	57	9
i	93	8	39	83
i	91	40	40	28
i	29	23	35	85
i	13	97	49	4
i	67	78	23	20
i	60	37	50	84
i	4	80	36	85
i	53	88	96	52
i	69	84	2	38
i	73	93	76	94
i	79	55	53	37
i	56	67	39	12
i	20	36	57	90
c
c
W	1452
c	end of file
