c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	32	52	78	16
i	19	59	93	71
i	10	12	28	88
i	48	72	4	71
i	1	66	96	70
i	14	32	99	18
i	71	19	85	87
i	45	73	30	1
i	30	58	25	26
i	70	40	30	32
i	24	47	53	2
i	3	85	81	45
i	67	83	90	2
i	99	97	63	44
i	43	83	58	22
i	10	49	99	55
i	9	59	69	6
i	11	16	20	6
i	71	47	53	2
i	21	44	33	100
i	15	96	46	90
i	1	7	31	96
i	32	63	18	84
i	1	92	58	39
i	17	96	38	15
i	100	80	29	5
i	4	54	43	68
i	33	54	30	48
i	44	52	89	75
i	85	34	57	19
i	15	58	98	86
i	12	59	11	73
i	99	19	39	24
i	30	58	38	22
i	72	52	35	100
i	69	99	23	28
i	60	40	88	40
i	18	33	64	8
i	51	100	100	88
i	38	32	44	94
i	8	92	44	99
i	67	78	23	73
i	58	35	95	82
i	89	65	21	70
i	64	99	7	63
i	63	78	96	85
i	77	97	27	45
i	5	34	79	63
i	11	22	41	67
i	56	19	40	73
c
c
W	996
c	end of file
