c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	12	32	58	96
i	33	73	7	38
i	48	50	66	73
i	60	84	16	83
i	76	41	71	45
i	84	55	22	41
i	49	97	16	65
i	100	28	85	56
i	85	13	80	81
i	73	43	33	82
i	33	9	62	11
i	19	54	50	14
i	95	11	18	30
i	44	42	8	89
i	94	87	62	73
i	52	91	41	97
i	71	21	31	68
i	24	29	33	19
i	33	9	62	11
i	31	54	43	57
i	9	43	93	37
i	49	55	79	97
i	38	22	24	90
i	24	15	28	62
i	24	3	92	69
i	89	22	71	47
i	53	50	39	17
i	29	50	73	91
i	58	66	3	89
i	79	28	51	13
i	26	22	9	50
i	23	70	22	84
i	40	60	80	65
i	28	9	89	20
i	31	11	94	59
i	27	57	81	86
i	84	17	65	17
i	96	11	42	33
i	78	27	27	15
i	81	75	87	37
i	43	27	79	81
i	61	19	17	14
i	31	8	21	55
i	94	23	26	28
i	87	75	30	86
i	93	61	26	15
i	61	81	64	29
i	17	93	91	75
i	85	96	68	41
i	69	32	53	86
c
c
W	1362
c	end of file
