c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	82	2	28	66
i	40	80	14	92
i	74	76	92	99
i	14	91	70	90
i	32	97	27	1
i	97	15	82	1
i	77	25	91	93
i	47	75	32	3
i	82	10	77	78
i	11	81	71	20
i	31	54	60	9
i	31	13	9	73
i	93	56	63	75
i	5	3	69	50
i	99	92	67	31
i	38	77	80	36
i	8	58	68	5
i	61	19	70	56
i	31	54	60	9
i	33	56	45	59
i	78	59	9	53
i	53	59	83	1
i	19	3	5	71
i	42	33	46	80
i	43	22	64	41
i	28	8	10	86
i	66	16	5	30
i	82	3	26	97
i	57	65	2	88
i	90	39	62	24
i	50	46	33	74
i	26	73	25	87
i	41	8	81	13
i	86	14	94	78
i	33	13	43	8
i	20	97	74	79
i	53	86	34	86
i	82	97	28	19
i	51	100	100	88
i	42	36	48	98
i	47	78	83	85
i	64	75	20	70
i	16	93	6	40
i	50	79	82	84
i	63	98	53	9
i	25	40	58	94
i	20	40	23	41
i	87	16	61	98
i	100	64	83	56
i	19	35	56	89
c
c
W	1260
c	end of file
