c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	92	12	38	76
i	22	9	43	74
i	30	85	48	8
i	96	73	52	72
i	80	45	75	49
i	75	46	60	32
i	3	98	17	66
i	47	75	32	3
i	32	60	27	28
i	65	35	25	74
i	14	90	43	92
i	76	11	7	18
i	25	41	48	60
i	18	16	82	63
i	15	8	30	94
i	76	15	18	74
i	78	81	91	75
i	31	89	40	26
i	14	90	43	92
i	99	22	11	25
i	4	38	35	32
i	36	42	66	31
i	43	27	29	95
i	36	27	40	74
i	21	100	42	66
i	66	46	95	71
i	95	45	34	59
i	82	3	26	44
i	73	81	18	4
i	53	2	25	87
i	91	87	74	15
i	25	72	24	86
i	72	92	12	97
i	2	30	10	41
i	99	79	9	27
i	87	17	41	99
i	30	63	11	63
i	71	33	64	8
i	11	60	60	95
i	55	49	61	11
i	28	12	64	66
i	14	25	70	67
i	19	49	9	96
i	49	78	81	83
i	20	55	63	19
i	81	96	14	3
i	67	87	70	35
i	48	24	22	6
i	97	8	27	53
i	18	34	55	88
c
c
W	1241
c	end of file
