c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	37	57	83	21
i	49	89	23	54
i	16	18	34	41
i	74	51	30	50
i	37	2	32	6
i	19	37	4	76
i	96	44	10	12
i	49	77	34	5
i	9	37	4	5
i	76	99	36	38
i	56	79	85	34
i	5	40	36	100
i	35	98	5	17
i	41	39	5	86
i	66	6	81	45
i	88	74	77	33
i	95	45	55	92
i	46	4	55	94
i	56	79	85	34
i	25	48	37	51
i	4	85	35	79
i	23	29	53	18
i	71	2	57	23
i	27	18	84	65
i	58	37	79	56
i	75	8	57	33
i	19	69	58	83
i	31	52	75	93
i	28	36	73	59
i	50	99	75	37
i	82	78	65	6
i	66	13	65	74
i	22	89	62	94
i	100	28	8	92
i	27	54	37	2
i	78	55	32	37
i	61	94	42	94
i	64	79	10	54
i	78	27	27	15
i	79	73	85	35
i	50	34	86	88
i	36	47	92	42
i	52	29	42	76
i	87	16	19	21
i	14	49	57	13
i	15	30	48	84
i	13	33	16	34
i	76	52	50	34
i	64	75	47	20
i	61	24	45	78
c
c
W	1243
c	end of file
