c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	67	87	13	51
i	17	57	91	69
i	87	89	5	12
i	44	68	100	67
i	10	75	5	79
i	27	45	12	31
i	91	39	5	7
i	94	22	79	50
i	4	85	99	100
i	27	50	87	89
i	77	53	59	8
i	34	69	65	76
i	39	55	62	74
i	9	60	73	54
i	78	71	93	57
i	84	70	73	29
i	3	53	63	100
i	56	61	65	51
i	77	53	59	8
i	34	57	46	60
i	36	17	67	11
i	5	11	35	53
i	36	67	22	88
i	51	42	55	89
i	29	8	50	27
i	71	4	53	29
i	99	49	38	63
i	35	56	79	97
i	30	38	75	61
i	19	68	44	6
i	12	8	95	36
i	54	1	53	15
i	65	32	5	90
i	65	93	73	57
i	34	14	44	9
i	40	17	94	99
i	14	47	95	94
i	75	90	21	12
i	11	60	60	48
i	49	43	2	5
i	49	80	32	87
i	92	3	48	98
i	82	59	72	59
i	28	57	13	62
i	48	36	91	47
i	41	56	74	10
i	76	96	79	44
i	25	1	99	83
i	34	45	17	90
i	47	10	31	64
c
c
W	1156
c	end of file
