c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	67	87	13	51
i	6	46	80	58
i	62	17	80	40
i	82	6	38	5
i	19	84	14	88
i	93	11	78	97
i	56	51	70	72
i	98	26	83	54
i	8	36	3	4
i	9	79	69	71
i	44	67	73	22
i	90	25	21	32
i	38	54	61	73
i	21	19	85	66
i	43	36	11	75
i	93	79	82	38
i	54	4	14	51
i	56	14	65	4
i	44	67	73	22
i	52	75	64	31
i	62	43	93	37
i	62	68	92	10
i	63	94	49	15
i	80	71	84	18
i	34	13	55	79
i	80	60	62	38
i	76	26	15	40
i	80	1	24	95
i	56	64	1	87
i	29	78	54	16
i	35	31	18	59
i	82	29	81	43
i	43	10	83	68
i	30	58	38	22
i	56	83	66	31
i	89	66	43	48
i	53	86	34	33
i	3	65	96	40
i	58	60	7	95
i	57	51	63	13
i	21	5	57	12
i	86	97	42	92
i	98	28	88	75
i	56	32	88	90
i	46	81	36	92
i	12	27	45	81
i	15	35	18	83
i	89	65	63	47
i	65	29	48	21
i	26	42	63	96
c
c
W	1339
c	end of file
