c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	42	62	88	26
i	1	41	75	53
i	19	21	84	44
i	77	54	33	53
i	49	14	44	18
i	92	63	77	49
i	44	92	58	60
i	45	73	30	1
i	80	8	75	76
i	24	94	84	86
i	7	30	36	85
i	48	83	79	90
i	52	15	75	87
i	12	10	76	57
i	6	99	74	38
i	48	34	37	93
i	79	29	39	76
i	81	39	90	76
i	7	30	36	85
i	87	10	99	66
i	94	75	25	69
i	31	37	14	79
i	56	87	42	8
i	95	86	52	33
i	42	74	63	40
i	85	18	67	43
i	80	30	19	44
i	33	54	77	48
i	60	68	58	44
i	48	97	20	82
i	56	52	39	80
i	11	58	10	72
i	83	3	23	8
i	93	21	1	85
i	38	18	1	66
i	89	66	43	48
i	37	17	65	17
i	7	22	53	44
i	11	60	60	48
i	51	45	4	7
i	42	26	78	80
i	17	75	73	70
i	61	91	51	38
i	35	64	67	69
i	74	9	64	20
i	19	87	52	41
i	71	91	74	92
i	66	42	40	24
i	55	66	38	11
i	55	18	39	72
c
c
W	1248
c	end of file
