c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	17	37	63	1
i	85	25	59	90
i	51	53	16	76
i	63	87	19	86
i	41	6	36	10
i	10	28	95	14
i	97	45	64	13
i	96	24	81	52
i	56	84	51	52
i	68	91	28	30
i	37	60	66	15
i	62	97	93	4
i	65	28	35	100
i	15	13	79	60
i	87	27	2	66
i	12	51	1	57
i	55	5	15	52
i	6	64	15	1
i	37	60	66	15
i	93	16	5	19
i	99	80	30	74
i	10	16	40	5
i	23	7	9	75
i	39	83	96	30
i	8	87	76	53
i	52	32	81	57
i	14	64	53	78
i	31	52	28	46
i	43	51	88	74
i	24	73	49	11
i	100	43	83	24
i	68	15	67	29
i	54	21	94	79
i	21	49	82	13
i	95	22	5	70
i	38	68	92	97
i	7	40	88	40
i	39	54	32	76
i	11	60	60	48
i	53	47	59	9
i	35	19	71	73
i	89	100	45	95
i	40	70	30	17
i	42	71	74	76
i	47	82	90	46
i	50	65	83	72
i	19	39	22	40
i	7	83	81	65
i	76	87	6	32
i	63	26	47	80
c
c
W	1175
c	end of file
