c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	97	17	43	81
i	10	50	84	15
i	61	63	79	86
i	37	14	93	13
i	54	19	49	23
i	14	85	52	71
i	63	11	77	79
i	47	75	32	56
i	7	88	55	56
i	42	12	2	51
i	32	55	61	10
i	75	10	6	17
i	94	57	17	29
i	48	99	12	93
i	73	13	88	52
i	45	84	87	43
i	66	16	26	10
i	66	24	75	14
i	32	55	61	10
i	32	55	44	58
i	20	1	51	95
i	1	7	31	49
i	55	86	41	7
i	33	24	37	71
i	57	89	78	55
i	85	65	14	90
i	33	83	72	97
i	82	3	26	44
i	31	92	29	15
i	8	57	33	95
i	88	84	71	12
i	98	98	97	59
i	64	84	4	89
i	7	35	68	99
i	32	12	95	60
i	47	77	1	6
i	45	78	26	25
i	89	4	35	26
i	38	40	40	75
i	88	29	41	44
i	45	29	81	83
i	89	47	45	42
i	97	74	87	74
i	72	1	4	6
i	25	60	68	24
i	9	24	42	31
i	17	37	67	85
i	2	31	76	60
i	19	30	49	75
i	44	60	81	14
c
c
W	1208
c	end of file
