c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	62	82	8	46
i	65	5	39	17
i	84	86	2	62
i	41	65	97	64
i	45	10	40	14
i	1	72	39	58
i	43	91	57	59
i	98	26	83	54
i	33	61	28	29
i	32	2	92	94
i	26	49	55	4
i	91	26	22	86
i	22	85	92	57
i	38	36	2	83
i	85	78	53	17
i	24	10	13	69
i	19	69	79	16
i	21	79	30	69
i	26	49	55	4
i	19	42	31	98
i	99	80	30	74
i	97	3	27	92
i	51	82	37	3
i	83	74	87	21
i	45	24	66	43
i	61	41	43	19
i	38	88	77	2
i	80	1	77	95
i	45	53	43	29
i	74	23	46	8
i	91	34	21	62
i	56	56	55	17
i	51	18	91	76
i	72	100	80	64
i	23	50	33	98
i	29	6	83	88
i	91	71	19	71
i	32	47	78	22
i	31	80	80	15
i	77	71	30	33
i	57	88	40	95
i	64	22	20	17
i	73	50	10	97
i	80	9	65	14
i	41	76	31	87
i	84	99	17	53
i	65	85	68	86
i	35	11	9	93
i	43	7	26	99
i	53	16	90	70
c
c
W	1348
c	end of file
