c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	42	62	88	26
i	90	30	64	95
i	94	96	12	72
i	15	92	71	91
i	11	76	6	80
i	58	76	43	15
i	9	57	23	25
i	49	77	34	5
i	84	12	79	80
i	53	76	13	15
i	21	97	3	52
i	4	39	35	46
i	51	67	74	86
i	24	22	35	69
i	24	64	39	3
i	57	43	46	2
i	30	80	90	27
i	34	39	43	29
i	21	97	3	52
i	58	81	70	84
i	67	1	98	95
i	88	94	18	36
i	30	14	69	35
i	24	15	81	62
i	47	26	68	45
i	94	27	76	52
i	10	60	96	74
i	78	99	75	93
i	86	94	31	17
i	58	7	30	92
i	79	75	62	3
i	39	86	38	100
i	14	81	54	86
i	58	86	66	50
i	60	40	70	35
i	38	15	92	97
i	76	9	57	56
i	82	97	28	72
i	58	7	7	95
i	12	53	65	15
i	14	98	50	5
i	11	22	67	64
i	30	7	67	54
i	63	39	95	44
i	19	54	9	18
i	43	58	76	12
i	63	83	66	31
i	30	59	4	88
i	86	97	69	42
i	34	50	71	4
c
c
W	1160
c	end of file
