c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	12	32	58	96
i	44	84	18	49
i	20	22	38	98
i	22	46	78	45
i	67	32	62	36
i	18	89	56	75
i	37	32	51	100
i	96	24	81	52
i	81	9	76	77
i	91	14	51	53
i	19	42	48	97
i	63	98	94	58
i	96	12	19	31
i	32	83	96	77
i	29	69	44	8
i	43	82	85	41
i	20	70	80	17
i	71	29	80	66
i	19	42	48	97
i	60	83	72	86
i	36	17	67	11
i	92	98	75	40
i	11	95	50	16
i	42	86	99	33
i	19	98	40	64
i	33	13	62	38
i	23	73	62	87
i	84	5	28	46
i	32	93	30	16
i	69	18	41	3
i	3	99	86	27
i	42	42	41	3
i	62	29	2	87
i	16	44	24	8
i	62	89	72	37
i	78	8	32	37
i	45	78	26	25
i	68	83	14	58
i	31	80	80	68
i	73	14	26	29
i	18	2	54	56
i	14	25	23	20
i	15	92	52	39
i	19	95	51	53
i	42	77	85	41
i	22	37	55	44
i	22	42	25	90
i	53	29	27	11
i	54	65	84	10
i	37	53	74	7
c
c
W	1079
c	end of file
