c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	52	72	98	36
i	83	23	57	35
i	75	30	93	53
i	59	36	15	35
i	97	62	92	66
i	23	41	8	27
i	70	65	84	33
i	98	73	83	54
i	83	11	78	79
i	78	48	38	40
i	43	66	72	21
i	46	81	24	88
i	37	100	7	72
i	25	23	89	70
i	22	62	37	1
i	86	72	75	31
i	49	99	9	46
i	51	9	60	46
i	90	66	72	21
i	53	76	65	32
i	20	1	51	95
i	14	20	44	62
i	27	11	13	79
i	89	80	46	27
i	20	99	41	65
i	23	56	5	81
i	9	59	48	73
i	33	54	77	95
i	29	37	74	60
i	11	60	83	45
i	97	93	80	21
i	10	57	9	71
i	67	87	7	92
i	9	37	17	48
i	57	84	67	32
i	9	86	63	68
i	14	94	42	94
i	43	58	89	33
i	71	20	20	8
i	64	58	17	20
i	23	7	59	61
i	14	25	70	20
i	17	94	7	41
i	34	10	66	68
i	31	66	74	30
i	28	43	61	97
i	18	38	21	39
i	74	3	48	32
i	99	10	82	55
i	54	17	38	71
c
c
W	1164
c	end of file
