c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	87	7	33	71
i	81	21	2	33
i	52	54	70	30
i	55	32	11	31
i	6	71	1	75
i	36	54	21	93
i	90	38	4	6
i	47	75	32	3
i	57	85	52	53
i	88	58	48	97
i	96	72	78	27
i	77	12	8	72
i	9	25	32	44
i	35	86	99	80
i	57	50	25	36
i	7	46	49	5
i	43	93	56	40
i	96	54	5	91
i	96	72	78	27
i	66	89	78	92
i	41	22	72	16
i	18	24	1	66
i	31	15	17	83
i	39	30	43	77
i	32	11	53	30
i	47	27	29	52
i	57	7	43	21
i	82	3	26	44
i	15	23	60	46
i	45	94	70	32
i	47	43	30	71
i	99	99	98	60
i	80	100	20	5
i	44	72	52	36
i	66	46	76	41
i	27	57	81	39
i	68	1	49	48
i	100	15	46	90
i	31	80	80	68
i	75	16	28	31
i	11	95	47	2
i	39	50	95	45
i	94	71	31	18
i	26	2	58	7
i	68	3	58	14
i	53	68	86	22
i	70	90	73	38
i	94	70	68	52
i	22	86	5	78
i	45	61	82	15
c
c
W	1374
c	end of file
