c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	7	27	53	91
i	3	43	77	8
i	42	44	60	67
i	81	58	37	57
i	93	58	88	62
i	79	50	64	36
i	24	72	38	40
i	96	24	81	52
i	6	34	1	2
i	14	37	74	76
i	1	77	30	79
i	17	99	95	59
i	80	43	50	15
i	2	100	66	47
i	71	64	86	50
i	74	13	16	72
i	85	35	45	29
i	36	94	45	31
i	1	24	30	79
i	27	50	39	53
i	20	54	4	48
i	27	33	57	75
i	52	83	38	4
i	98	89	2	36
i	30	9	51	28
i	14	94	43	19
i	85	35	24	49
i	84	5	28	46
i	74	82	19	58
i	61	10	86	48
i	6	2	89	30
i	69	16	68	30
i	70	37	10	95
i	58	86	66	50
i	29	56	39	4
i	18	48	72	77
i	30	63	11	63
i	50	65	96	87
i	51	100	100	88
i	40	34	46	96
i	54	85	37	92
i	92	50	48	45
i	37	14	27	61
i	96	72	28	77
i	37	25	80	36
i	94	9	27	16
i	72	92	75	93
i	46	75	20	4
i	32	43	62	88
i	11	27	48	81
c
c
W	1188
c	end of file
