c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	72	92	18	56
i	47	87	21	99
i	93	95	58	18
i	23	47	79	46
i	93	58	88	62
i	32	50	17	89
i	16	64	83	32
i	98	26	83	7
i	83	64	78	32
i	86	56	46	48
i	62	85	91	40
i	89	24	20	31
i	7	70	77	42
i	51	2	15	96
i	1	94	69	80
i	62	48	51	7
i	89	39	49	86
i	91	49	53	39
i	62	85	91	40
i	85	8	97	64
i	25	6	56	100
i	27	33	57	75
i	75	6	61	27
i	77	68	81	15
i	23	2	91	68
i	99	79	81	4
i	67	17	6	31
i	80	1	24	42
i	14	22	59	45
i	37	86	9	71
i	32	28	15	56
i	55	55	54	16
i	35	2	75	60
i	88	16	96	27
i	89	16	99	64
i	49	26	50	8
i	68	48	96	48
i	21	36	67	58
i	38	87	87	75
i	90	84	43	46
i	38	22	74	76
i	61	72	17	67
i	76	6	66	53
i	79	8	11	13
i	98	33	41	97
i	40	55	73	9
i	12	32	15	33
i	43	72	17	1
i	87	51	70	43
i	52	68	89	22
c
c
W	1459
c	end of file
