c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	22	42	68	6
i	26	66	100	31
i	29	31	47	54
i	4	28	60	27
i	15	80	10	84
i	49	67	34	6
i	10	58	24	26
i	96	24	81	5
i	31	12	79	80
i	45	68	5	7
i	2	78	84	33
i	61	96	92	3
i	81	97	4	16
i	98	96	9	90
i	92	85	60	24
i	81	20	70	26
i	90	40	50	87
i	41	99	50	36
i	2	78	84	33
i	26	49	38	52
i	62	96	93	90
i	75	81	5	70
i	35	19	21	87
i	36	80	93	27
i	44	23	65	42
i	18	51	100	76
i	52	2	91	16
i	31	52	75	46
i	1	9	46	32
i	32	81	4	66
i	44	40	27	68
i	41	88	40	2
i	46	13	86	71
i	79	7	87	71
i	28	55	38	3
i	98	28	52	57
i	22	55	3	2
i	57	72	3	94
i	91	40	40	75
i	86	27	39	42
i	52	83	88	90
i	64	75	20	17
i	18	95	8	95
i	65	94	50	99
i	52	87	42	98
i	78	93	11	100
i	69	89	72	37
i	61	37	35	19
i	98	9	81	54
i	36	52	73	6
c
c
W	1236
c	end of file
