c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	7	27	53	91
i	92	32	66	97
i	17	72	35	95
i	19	43	75	42
i	2	67	97	71
i	45	63	30	2
i	89	84	3	52
i	100	28	85	56
i	10	38	5	6
i	96	66	56	5
i	15	91	97	46
i	73	55	51	15
i	79	42	2	14
i	61	12	25	6
i	36	29	4	68
i	83	22	25	81
i	36	86	96	33
i	36	94	98	84
i	15	91	97	46
i	98	21	10	24
i	46	80	77	21
i	84	90	14	79
i	26	10	65	31
i	27	18	31	65
i	35	14	56	80
i	70	3	52	28
i	62	12	1	26
i	29	50	73	44
i	100	8	45	31
i	71	20	96	58
i	29	25	12	53
i	97	44	96	58
i	48	68	88	73
i	23	51	31	15
i	98	78	61	26
i	67	97	21	26
i	22	55	3	2
i	78	93	71	15
i	98	47	47	35
i	1	42	54	57
i	26	10	62	64
i	86	97	42	92
i	53	30	43	77
i	71	47	3	5
i	35	70	25	81
i	65	80	98	87
i	11	84	14	32
i	63	39	37	21
i	63	74	46	19
i	43	59	80	13
c
c
W	1318
c	end of file
