c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	57	77	3	41
i	24	64	98	76
i	6	8	71	31
i	100	24	56	76
i	71	36	66	40
i	62	80	47	19
i	30	78	97	46
i	98	26	83	54
i	58	86	53	54
i	55	25	15	17
i	8	84	37	39
i	45	27	23	87
i	53	69	76	88
i	8	6	19	53
i	80	20	95	59
i	55	41	44	100
i	84	34	44	81
i	86	44	95	81
i	8	84	37	39
i	86	9	98	65
i	83	17	14	11
i	79	85	62	27
i	39	23	25	91
i	86	77	43	24
i	9	88	77	54
i	42	75	24	100
i	100	50	86	64
i	33	1	77	95
i	87	95	32	18
i	66	15	91	53
i	94	90	77	18
i	83	30	82	44
i	59	79	99	84
i	14	42	75	6
i	90	17	100	65
i	69	46	23	28
i	76	9	57	56
i	14	29	60	51
i	51	100	100	35
i	44	38	50	100
i	40	24	76	78
i	89	100	45	42
i	95	72	85	19
i	57	86	89	91
i	36	71	79	35
i	56	71	89	25
i	68	88	71	36
i	81	57	55	39
i	21	32	4	77
i	27	43	64	97
c
c
W	1431
c	end of file
