c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3
i	2	22	48	86
i	62	2	36	67
i	64	66	29	89
i	40	17	96	16
i	19	84	14	88
i	40	58	25	97
i	11	59	25	27
i	96	24	81	52
i	31	59	26	27
i	37	60	97	99
i	83	59	65	14
i	18	53	96	60
i	11	27	34	46
i	19	70	83	64
i	13	6	81	92
i	5	44	47	3
i	97	100	10	94
i	1	6	10	96
i	83	59	65	14
i	94	17	6	20
i	57	38	88	32
i	62	68	92	57
i	40	71	26	92
i	1	92	5	39
i	94	73	62	39
i	95	75	77	100
i	47	97	33	11
i	84	5	28	46
i	16	24	61	47
i	6	55	78	40
i	62	58	45	86
i	43	43	95	4
i	78	45	18	3
i	100	28	8	92
i	96	23	6	71
i	58	88	12	70
i	68	1	49	48
i	32	47	25	69
i	71	20	20	8
i	60	1	13	16
i	37	21	73	75
i	17	28	73	23
i	59	36	49	83
i	20	49	52	54
i	85	20	75	31
i	66	81	99	35
i	75	95	78	43
i	92	68	66	50
i	57	21	40	13
i	38	54	75	8
c
c
W	1271
c	end of file
