c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	35	2	88	51	92
i	52	62	51	47	100
i	93	64	21	15	86
i	19	40	46	43	72
i	19	19	13	50	51
i	20	40	39	63	7
i	100	11	7	84	80
i	14	96	58	58	55
i	57	31	3	8	40
i	62	37	46	100	76
i	67	83	93	36	95
i	83	18	18	88	88
i	7	11	68	72	76
i	70	19	48	25	89
i	19	13	35	40	98
i	92	5	100	47	94
i	99	97	49	2	33
i	52	1	55	4	37
i	67	83	93	36	95
i	75	94	90	49	88
i	38	57	1	63	56
i	62	62	54	14	97
i	94	40	78	42	97
i	85	1	55	47	94
i	82	94	92	84	78
i	52	95	24	94	31
i	81	47	64	17	49
i	2	84	51	40	25
i	44	16	81	60	72
i	60	6	43	26	73
i	6	62	100	82	37
i	32	43	59	71	81
i	71	78	75	46	81
i	26	100	3	34	79
i	28	96	96	53	43
i	56	58	33	97	85
i	5	68	44	25	61
i	5	32	90	68	74
i	79	71	42	42	5
i	30	60	72	74	24
i	75	37	47	84	78
i	92	17	37	86	2
i	68	59	69	91	4
i	99	20	51	65	52
i	36	85	32	37	63
i	74	66	55	5	76
i	43	75	53	22	45
i	22	92	47	64	29
i	61	57	61	5	59
i	45	38	57	28	82
c
c
W	1328
c	end of file
