c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	70	37	23	86	27
i	97	60	49	45	45
i	70	88	98	92	10
i	15	36	95	39	68
i	75	75	22	6	7
i	33	53	52	76	20
i	20	31	80	4	100
i	16	45	7	60	4
i	31	5	77	35	14
i	72	47	56	10	33
i	73	89	99	42	1
i	14	49	2	72	72
i	79	83	40	44	48
i	80	82	58	35	99
i	54	48	70	75	33
i	66	79	74	21	68
i	46	44	43	49	27
i	97	46	100	49	82
i	73	89	99	42	1
i	88	54	50	62	48
i	59	78	22	84	77
i	66	66	11	71	54
i	98	44	82	46	1
i	35	98	5	97	91
i	94	6	4	96	90
i	23	66	48	18	55
i	29	42	59	65	97
i	4	33	100	89	74
i	30	2	67	99	58
i	47	40	30	60	60
i	56	59	50	32	87
i	74	85	1	13	23
i	84	91	88	59	94
i	61	88	38	22	14
i	37	5	58	62	52
i	74	29	51	15	56
i	59	22	98	79	15
i	62	36	47	72	31
i	39	31	2	2	65
i	41	71	83	85	35
i	63	25	35	72	66
i	17	42	9	11	27
i	92	83	46	68	81
i	38	12	43	57	91
i	20	69	69	74	47
i	52	91	33	30	1
i	42	74	52	74	97
i	89	59	14	31	96
i	84	33	84	28	82
i	36	29	48	19	73
c
c
W	1387
c	end of file
