c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	55	22	8	71	12
i	27	37	26	22	75
i	83	1	11	5	23
i	92	66	72	69	98
i	53	53	100	84	85
i	63	83	82	6	50
i	34	45	41	18	14
i	63	92	54	7	4
i	53	27	52	57	89
i	41	16	25	79	2
i	19	88	45	41	100
i	70	5	58	28	75
i	78	82	39	43	94
i	37	86	15	92	3
i	33	27	49	54	59
i	59	72	67	14	61
i	88	39	38	91	22
i	39	88	95	44	24
i	19	88	45	41	100
i	89	55	51	63	49
i	17	89	80	42	35
i	18	18	63	23	6
i	62	8	46	10	65
i	44	7	14	6	53
i	80	92	90	82	76
i	19	62	91	61	98
i	62	75	92	98	30
i	4	86	53	42	74
i	3	75	40	72	84
i	76	22	59	42	89
i	18	21	12	94	49
i	49	13	29	41	51
i	61	68	12	36	18
i	40	14	17	48	93
i	38	6	6	63	53
i	47	49	24	35	76
i	20	83	59	87	23
i	55	29	40	65	24
i	99	44	62	15	25
i	95	25	90	39	42
i	65	27	37	74	68
i	92	70	37	39	55
i	11	2	12	34	47
i	16	90	21	35	22
i	58	7	54	59	85
i	15	7	96	46	17
i	98	30	55	77	100
i	74	97	52	16	81
i	18	67	18	62	16
i	64	4	23	94	48
c
c
W	1257
c	end of file
