c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	35	2	88	51	92
i	63	73	62	58	11
i	65	36	46	40	58
i	81	2	8	5	34
i	10	57	4	88	89
i	54	74	73	97	41
i	35	99	95	72	15
i	63	92	54	54	51
i	53	27	99	4	36
i	80	8	17	71	94
i	100	69	26	22	81
i	27	62	62	32	32
i	8	12	69	73	77
i	11	60	89	66	77
i	54	48	70	75	80
i	83	96	91	38	85
i	48	46	98	51	82
i	99	48	2	4	84
i	100	69	26	22	81
i	57	23	19	31	17
i	12	31	75	37	30
i	5	5	50	10	40
i	67	13	51	15	70
i	56	72	26	18	65
i	77	89	87	79	73
i	43	86	15	38	22
i	4	17	34	40	72
i	57	39	6	95	27
i	18	90	55	87	99
i	50	96	33	16	63
i	83	39	77	59	14
i	4	15	31	43	53
i	93	100	97	68	3
i	61	88	38	22	14
i	6	74	74	31	21
i	7	62	84	48	36
i	66	29	5	33	22
i	77	4	62	40	46
i	32	24	95	95	58
i	69	99	64	13	16
i	50	12	22	12	53
i	45	23	90	92	8
i	99	43	53	75	88
i	71	45	23	90	24
i	91	40	87	92	65
i	3	95	84	81	52
i	4	36	61	83	6
i	5	28	83	47	12
i	77	26	77	21	28
i	66	6	25	96	50
c
c
W	1262
c	end of file
