c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	65	32	18	81	22
i	67	30	19	15	15
i	64	82	92	86	4
i	36	10	16	13	89
i	92	92	39	23	24
i	28	48	47	71	15
i	95	6	2	79	75
i	12	41	3	56	100
i	52	26	98	56	35
i	13	88	97	51	27
i	88	57	14	10	69
i	12	47	47	17	17
i	64	68	25	29	80
i	38	40	16	93	57
i	31	25	47	52	10
i	88	1	96	43	90
i	7	58	57	10	41
i	9	58	12	14	94
i	88	57	14	10	69
i	84	3	99	58	97
i	70	89	33	95	88
i	44	44	89	49	32
i	59	5	43	7	62
i	9	72	79	71	65
i	53	12	10	55	49
i	48	91	20	90	27
i	61	27	44	97	29
i	59	88	55	44	29
i	46	18	83	15	27
i	29	75	12	95	42
i	36	92	30	12	67
i	20	84	47	59	69
i	14	21	18	89	24
i	91	65	15	99	44
i	35	3	3	60	50
i	18	20	95	6	47
i	5	68	97	25	61
i	16	90	1	26	85
i	12	4	75	75	38
i	47	30	42	44	94
i	21	36	93	83	24
i	48	73	40	42	58
i	98	89	99	74	34
i	40	61	92	6	93
i	70	19	19	24	97
i	100	92	81	31	2
i	53	85	63	85	8
i	71	41	96	60	78
i	31	27	31	75	29
i	31	24	43	14	68
c
c
W	1184
c	end of file
