c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	80	47	33	96	37
i	90	53	89	38	38
i	51	69	79	73	91
i	59	80	39	83	12
i	14	14	61	45	46
i	98	18	17	41	85
i	81	92	88	65	61
i	12	41	3	56	53
i	77	51	76	81	13
i	44	19	28	82	58
i	42	58	68	11	70
i	56	91	44	14	61
i	65	69	26	30	34
i	34	83	12	89	53
i	5	99	21	73	31
i	95	8	3	97	97
i	65	63	62	68	46
i	14	63	70	19	99
i	42	58	68	11	70
i	83	2	98	57	96
i	12	31	75	37	30
i	92	92	37	97	27
i	95	88	79	90	45
i	100	63	17	62	56
i	67	79	77	69	63
i	5	48	77	47	84
i	28	94	11	17	49
i	6	88	55	91	76
i	73	45	10	89	1
i	100	93	83	13	13
i	74	30	68	50	5
i	92	56	72	84	94
i	90	97	94	65	100
i	12	86	89	20	65
i	34	2	2	59	49
i	45	100	22	86	27
i	97	60	36	17	53
i	23	50	8	33	92
i	52	44	62	15	25
i	93	23	35	37	40
i	19	34	91	81	22
i	20	45	65	14	30
i	32	23	33	55	68
i	62	83	14	28	15
i	85	81	81	86	59
i	37	76	18	15	86
i	50	82	7	29	52
i	33	56	11	75	40
i	97	46	97	41	95
i	56	49	68	86	40
c
c
W	1394
c	end of file
