c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	45	12	98	61	2
i	34	44	33	29	82
i	2	20	30	24	42
i	1	22	28	25	54
i	67	67	61	98	99
i	51	18	17	94	85
i	26	37	33	10	53
i	67	96	58	11	55
i	7	81	53	11	90
i	16	91	100	54	30
i	50	19	76	72	78
i	28	63	16	86	86
i	92	96	53	57	61
i	83	32	61	38	2
i	35	29	51	3	61
i	30	43	38	85	32
i	69	20	19	72	3
i	22	71	25	27	7
i	50	19	76	72	78
i	41	60	56	15	54
i	17	36	27	89	82
i	92	92	37	97	80
i	18	11	2	13	68
i	79	42	49	41	88
i	7	19	17	9	3
i	90	33	62	32	69
i	10	23	40	46	78
i	2	84	51	40	72
i	60	32	97	29	41
i	23	69	6	89	36
i	47	3	41	23	31
i	31	42	58	70	80
i	55	62	59	30	65
i	42	16	66	50	95
i	94	62	62	19	9
i	76	78	53	64	5
i	82	45	21	2	38
i	94	68	79	4	63
i	39	31	2	2	65
i	43	73	85	87	37
i	56	18	28	18	59
i	89	14	34	36	52
i	71	15	25	47	60
i	45	19	97	11	98
i	46	42	42	47	20
i	30	22	64	61	32
i	90	22	47	69	92
i	30	53	8	72	37
i	5	54	5	49	3
i	44	37	56	27	81
c
c
W	1162
c	end of file
