c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	100	67	53	16	57
i	65	75	64	13	13
i	41	59	69	63	81
i	85	6	12	9	38
i	1	1	95	32	33
i	41	61	60	84	28
i	15	26	22	99	95
i	61	90	52	5	2
i	26	100	25	30	62
i	23	98	7	61	84
i	94	63	20	16	75
i	43	78	31	1	48
i	36	40	97	1	52
i	48	50	26	56	67
i	19	13	35	87	45
i	62	75	17	64	64
i	54	52	51	57	35
i	54	3	57	59	39
i	94	63	20	16	75
i	44	63	59	18	57
i	91	10	54	16	9
i	1	1	93	53	36
i	63	9	47	11	66
i	59	22	76	68	15
i	65	77	75	67	61
i	72	15	44	14	51
i	9	22	39	45	77
i	8	37	4	93	78
i	32	4	69	1	13
i	63	9	46	29	76
i	33	89	27	9	17
i	62	73	89	1	11
i	27	34	31	55	37
i	26	100	3	34	79
i	44	12	65	69	59
i	36	91	13	77	18
i	12	75	51	79	15
i	73	47	58	83	89
i	72	64	35	35	98
i	58	88	53	2	5
i	62	24	34	71	65
i	73	98	65	67	83
i	75	66	76	98	11
i	79	53	84	98	85
i	7	3	3	8	81
i	78	17	59	56	27
i	5	37	62	84	7
i	38	8	63	80	45
i	54	3	54	98	52
i	22	15	34	5	59
c
c
W	1203
c	end of file
