c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	65	32	18	81	22
i	56	19	8	4	57
i	39	10	20	14	32
i	74	48	54	51	27
i	1	1	48	32	33
i	94	14	13	37	81
i	60	71	67	44	87
i	16	45	7	7	4
i	56	30	2	60	39
i	95	70	79	33	56
i	55	24	81	77	83
i	15	3	3	73	73
i	63	67	24	28	79
i	50	99	28	5	16
i	49	43	65	17	75
i	97	10	5	52	99
i	11	9	8	14	92
i	62	11	65	14	47
i	55	71	81	77	83
i	55	21	17	29	15
i	96	15	59	21	14
i	1	1	46	53	36
i	86	32	70	34	89
i	38	1	8	100	94
i	5	17	15	60	54
i	57	100	29	99	36
i	38	4	21	27	59
i	4	33	53	89	74
i	72	44	9	88	100
i	39	85	22	5	52
i	59	15	53	35	90
i	48	12	28	87	50
i	92	99	96	67	2
i	56	30	80	64	9
i	4	72	25	29	19
i	14	69	91	55	96
i	97	60	36	64	100
i	91	18	76	54	60
i	59	51	22	22	85
i	8	38	3	52	55
i	46	8	18	8	49
i	42	67	87	36	52
i	14	58	68	90	3
i	15	89	67	81	68
i	68	64	64	69	42
i	24	63	5	2	73
i	45	77	2	24	47
i	35	5	60	77	42
i	62	11	62	6	60
i	63	56	75	93	47
c
c
W	1223
c	end of file
