c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	85	52	38	1	42
i	31	94	30	79	79
i	29	100	10	4	22
i	100	21	27	24	53
i	88	88	35	19	20
i	37	57	56	80	24
i	94	5	1	78	74
i	65	94	56	56	53
i	5	79	51	56	88
i	21	96	5	59	35
i	7	76	33	29	88
i	55	90	90	60	60
i	34	38	95	99	50
i	64	66	42	19	83
i	10	4	26	31	89
i	64	77	72	66	66
i	100	98	97	3	81
i	49	98	5	54	34
i	7	76	33	29	88
i	16	35	31	90	29
i	75	94	38	100	93
i	57	57	2	62	45
i	54	100	38	2	57
i	97	60	14	59	53
i	3	15	13	58	52
i	24	67	96	66	3
i	19	32	49	55	87
i	6	35	2	91	76
i	31	3	68	100	12
i	55	1	38	21	68
i	18	74	65	47	2
i	18	29	45	57	67
i	82	89	86	57	92
i	70	44	94	78	23
i	67	35	35	92	82
i	5	60	82	46	87
i	59	22	51	79	15
i	41	68	26	4	10
i	79	24	42	95	5
i	73	3	68	70	20
i	36	98	8	98	39
i	95	20	87	89	5
i	57	1	11	33	46
i	85	59	37	51	38
i	37	86	86	91	64
i	65	4	46	43	14
i	47	79	57	79	2
i	40	10	65	29	47
i	19	68	19	63	17
i	29	22	41	12	66
c
c
W	1202
c	end of file
