c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	10	77	63	26	67
i	36	99	35	84	84
i	25	43	53	47	65
i	52	26	32	29	5
i	58	58	5	89	90
i	85	5	4	81	72
i	53	64	13	37	33
i	65	47	9	9	6
i	33	7	79	84	16
i	6	34	90	97	20
i	44	13	70	66	72
i	97	32	32	2	2
i	20	24	81	85	36
i	73	22	51	28	92
i	47	41	63	68	26
i	9	69	64	11	11
i	75	73	25	78	56
i	77	26	80	82	62
i	44	13	70	66	72
i	81	100	96	55	94
i	96	15	6	68	61
i	88	88	33	40	23
i	14	7	98	9	64
i	29	45	99	91	38
i	95	7	5	97	91
i	66	9	38	8	45
i	15	28	45	51	83
i	53	82	49	38	23
i	74	46	11	43	55
i	89	82	72	2	2
i	50	53	44	26	81
i	89	53	16	28	38
i	42	49	46	17	99
i	54	28	31	15	7
i	32	100	100	57	47
i	5	60	82	46	34
i	28	91	67	95	84
i	37	64	22	100	6
i	79	71	42	42	5
i	32	62	74	76	79
i	68	30	40	77	71
i	64	42	9	11	27
i	47	38	48	70	83
i	53	27	58	72	6
i	9	58	58	63	36
i	5	97	86	83	54
i	91	23	48	70	93
i	63	33	88	5	70
i	29	78	29	73	80
i	53	46	65	36	90
c
c
W	1270
c	end of file
