c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	10	77	63	26	67
i	47	57	46	95	95
i	97	68	78	72	90
i	14	88	94	91	20
i	49	49	43	80	81
i	72	39	38	15	59
i	41	52	48	25	68
i	14	43	5	5	2
i	29	3	75	80	12
i	77	52	61	15	38
i	30	99	56	52	58
i	41	76	76	46	46
i	21	25	82	86	37
i	14	63	92	69	80
i	82	76	98	3	61
i	100	13	55	2	2
i	24	22	21	27	5
i	24	73	80	29	9
i	30	99	56	52	58
i	10	29	25	84	23
i	70	89	33	95	88
i	31	31	76	36	19
i	87	33	71	35	90
i	100	16	70	62	9
i	90	2	100	45	39
i	57	100	29	52	89
i	38	51	68	74	6
i	55	37	4	93	78
i	1	73	38	17	29
i	79	72	9	92	92
i	27	30	21	3	58
i	61	72	88	100	10
i	11	18	15	86	21
i	42	16	66	50	95
i	63	31	31	35	25
i	56	11	33	97	85
i	89	52	28	56	92
i	9	36	94	72	78
i	32	24	95	95	5
i	71	1	66	15	18
i	43	5	15	5	46
i	70	95	15	64	33
i	78	22	32	54	67
i	78	52	30	44	31
i	64	13	60	18	91
i	34	73	15	12	83
i	99	31	9	31	54
i	46	69	24	88	6
i	98	47	98	42	49
i	21	14	33	4	58
c
c
W	1263
c	end of file
