c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	15	82	68	31	72
i	88	98	87	83	36
i	28	46	56	50	68
i	55	29	35	32	8
i	23	23	17	54	55
i	11	31	30	54	98
i	1	12	61	85	81
i	14	43	5	5	2
i	4	78	50	8	87
i	54	29	38	92	15
i	48	64	74	17	76
i	87	75	75	45	45
i	37	41	98	2	6
i	44	93	22	99	63
i	40	34	56	61	66
i	69	29	24	71	18
i	59	57	9	62	40
i	59	8	15	64	44
i	48	64	74	17	76
i	43	62	58	17	56
i	33	52	96	58	51
i	49	49	41	1	84
i	99	92	83	94	49
i	97	13	67	59	6
i	79	91	89	81	75
i	76	19	48	71	8
i	76	89	6	12	44
i	55	37	4	93	25
i	59	31	96	28	87
i	34	80	17	100	47
i	71	27	65	47	55
i	34	98	14	73	36
i	3	10	7	78	13
i	47	21	24	8	100
i	96	64	64	68	58
i	16	71	93	57	45
i	51	14	90	71	7
i	80	54	65	90	49
i	12	4	22	75	85
i	4	34	46	48	98
i	60	22	32	69	63
i	45	70	90	39	55
i	56	47	10	32	45
i	1	75	6	20	54
i	69	18	65	70	43
i	62	54	43	40	11
i	49	81	59	81	51
i	53	23	78	95	60
i	20	69	20	64	71
i	47	40	59	77	84
c
c
W	1180
c	end of file
