c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	25	92	78	41	82
i	70	80	69	65	18
i	84	55	65	59	77
i	37	58	17	61	90
i	71	71	65	2	3
i	89	9	8	85	76
i	27	38	34	11	7
i	14	43	5	58	55
i	54	28	100	58	90
i	8	83	92	46	69
i	31	100	57	53	59
i	85	20	73	43	90
i	22	26	83	87	91
i	57	6	35	12	76
i	56	50	72	24	82
i	54	67	62	9	56
i	29	27	79	32	63
i	82	78	85	34	14
i	31	100	57	53	59
i	9	28	24	83	22
i	12	31	22	84	77
i	79	79	24	84	67
i	70	16	54	18	73
i	91	7	61	53	100
i	4	16	14	59	53
i	14	57	86	56	93
i	5	18	35	41	73
i	55	84	51	40	25
i	75	100	12	44	56
i	97	43	80	63	10
i	65	68	59	41	96
i	33	97	60	72	82
i	87	94	91	62	97
i	63	37	87	71	16
i	62	30	30	34	24
i	36	91	13	77	65
i	28	91	67	48	84
i	16	43	1	79	85
i	19	11	82	35	45
i	17	47	59	61	11
i	41	3	13	3	44
i	42	20	87	89	5
i	12	3	13	35	48
i	100	74	52	66	53
i	79	75	75	80	53
i	18	10	99	96	67
i	96	28	6	75	98
i	61	31	39	3	68
i	64	13	64	8	15
i	46	39	58	29	83
c
c
W	1211
c	end of file
