c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	95	62	48	11	52
i	13	76	12	61	61
i	38	56	66	60	78
i	82	3	9	6	35
i	36	36	83	67	68
i	68	35	34	11	55
i	67	78	74	51	47
i	65	94	56	9	53
i	55	29	1	59	38
i	75	50	59	13	89
i	43	12	69	65	71
i	100	35	88	58	58
i	66	23	80	84	35
i	77	79	55	32	96
i	26	20	42	47	5
i	2	15	57	4	4
i	70	68	67	73	51
i	72	68	75	24	57
i	43	12	69	65	71
i	82	1	97	56	95
i	54	73	17	79	72
i	40	40	85	92	75
i	78	24	62	26	81
i	91	54	8	53	47
i	81	93	91	83	77
i	9	52	81	4	41
i	48	61	78	84	16
i	53	35	2	91	23
i	100	72	84	16	28
i	18	64	1	84	31
i	12	15	6	88	43
i	17	28	44	56	66
i	66	73	70	41	76
i	33	7	10	41	86
i	33	1	1	58	48
i	25	80	2	66	54
i	36	99	28	56	92
i	30	57	15	40	99
i	39	31	2	2	65
i	86	16	81	83	33
i	70	32	42	79	73
i	92	17	37	86	55
i	13	4	67	89	2
i	31	5	36	50	37
i	47	96	43	48	74
i	21	60	2	99	70
i	94	26	4	26	49
i	48	18	73	90	55
i	63	12	63	7	14
i	28	21	40	11	65
c
c
W	1316
c	end of file
