c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	30	97	83	46	87
i	22	32	21	17	70
i	87	58	68	62	80
i	40	61	20	64	93
i	36	83	30	14	15
i	15	35	34	58	2
i	75	86	82	59	55
i	10	92	1	54	51
i	25	52	24	29	61
i	3	31	40	94	17
i	35	51	61	4	63
i	28	63	16	86	33
i	92	96	53	57	8
i	28	77	6	83	47
i	96	90	12	17	22
i	14	27	22	69	16
i	13	11	63	16	47
i	64	13	67	69	49
i	35	51	61	4	63
i	24	90	86	98	84
i	49	68	12	74	67
i	40	40	32	92	75
i	55	1	39	3	58
i	59	75	29	21	68
i	88	100	98	43	37
i	24	67	96	19	56
i	66	79	96	2	34
i	57	39	6	95	27
i	60	32	97	29	88
i	42	88	25	8	55
i	86	42	80	62	70
i	78	42	58	17	80
i	1	8	5	76	11
i	56	30	80	64	9
i	73	41	41	98	88
i	47	2	24	88	76
i	51	14	43	71	7
i	59	86	44	22	28
i	52	44	15	15	78
i	89	19	31	33	83
i	33	95	5	95	36
i	23	48	68	17	33
i	21	65	75	97	10
i	48	22	100	14	1
i	86	35	82	87	13
i	75	67	56	53	24
i	54	86	64	86	9
i	51	21	76	93	58
i	55	4	55	99	6
i	40	33	52	70	77
c
c
W	1195
c	end of file
