c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	20	87	73	36	77
i	29	39	28	24	77
i	6	77	34	28	99
i	96	17	76	73	49
i	97	97	91	28	29
i	50	70	69	93	37
i	14	25	21	98	94
i	14	43	5	58	2
i	79	53	25	83	62
i	31	6	15	69	92
i	13	82	39	35	94
i	86	21	74	44	44
i	6	10	67	71	22
i	27	76	5	82	93
i	98	92	14	66	24
i	85	98	93	40	87
i	94	92	44	97	75
i	94	43	50	99	79
i	13	82	39	35	94
i	76	95	91	50	89
i	96	15	59	21	14
i	14	14	6	66	49
i	58	4	42	6	61
i	94	10	64	56	3
i	68	27	25	70	64
i	95	38	67	90	74
i	14	80	97	50	82
i	55	37	4	93	25
i	17	89	54	86	98
i	42	35	25	55	55
i	68	24	62	44	99
i	60	71	87	99	9
i	95	2	99	70	5
i	5	79	82	13	58
i	29	97	97	1	91
i	76	31	53	17	5
i	66	76	5	33	69
i	98	25	83	61	67
i	39	84	2	55	65
i	84	14	79	28	31
i	24	39	96	86	27
i	67	45	12	14	30
i	34	25	35	10	70
i	77	98	29	43	30
i	74	70	70	75	48
i	90	82	71	68	39
i	46	78	56	78	1
i	7	77	32	49	14
i	42	91	42	86	93
i	73	13	32	3	57
c
c
W	1368
c	end of file
