c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	40	7	93	56	97
i	4	14	3	99	52
i	96	14	24	18	36
i	22	43	49	46	75
i	84	31	78	62	63
i	93	13	12	89	80
i	48	59	55	32	28
i	63	92	54	7	51
i	28	2	74	32	11
i	57	85	94	48	71
i	18	87	44	40	46
i	73	61	61	31	31
i	24	81	38	42	93
i	41	43	19	96	60
i	12	6	28	80	38
i	52	65	60	7	54
i	83	81	33	86	17
i	34	83	90	39	19
i	18	87	44	40	46
i	90	56	52	64	50
i	28	47	38	100	93
i	70	70	15	75	58
i	79	25	63	27	82
i	53	16	23	15	62
i	66	78	76	68	62
i	62	5	34	4	41
i	95	8	25	31	63
i	57	86	53	42	27
i	29	1	13	45	57
i	5	51	88	71	18
i	80	83	74	56	11
i	77	41	57	16	79
i	85	92	89	60	95
i	19	93	96	27	72
i	39	7	7	64	54
i	67	22	44	8	96
i	28	91	20	48	84
i	48	22	33	58	17
i	12	4	75	75	38
i	2	32	44	46	96
i	67	29	39	76	70
i	20	45	65	67	83
i	77	68	31	53	66
i	47	68	99	13	100
i	96	92	92	97	70
i	31	23	12	9	80
i	1	33	11	33	56
i	12	82	37	1	19
i	99	48	99	43	50
i	39	32	51	22	76
c
c
W	1235
c	end of file
