c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	5	72	58	21	62
i	6	16	5	54	54
i	19	90	47	41	12
i	26	47	53	50	79
i	75	75	69	6	7
i	80	100	99	76	67
i	28	39	35	12	8
i	61	90	52	5	2
i	1	28	100	5	37
i	100	75	84	38	61
i	12	81	38	34	40
i	42	77	30	100	47
i	52	9	13	17	21
i	31	80	9	86	50
i	24	18	40	45	3
i	31	44	86	33	33
i	89	87	86	92	70
i	89	38	45	94	74
i	12	81	38	34	40
i	77	96	92	51	90
i	7	26	17	79	72
i	66	66	11	18	1
i	75	21	59	23	78
i	3	19	73	65	12
i	1	13	11	56	50
i	38	81	63	33	70
i	47	60	77	83	15
i	8	37	4	93	78
i	90	15	27	59	71
i	71	17	54	37	84
i	30	86	24	6	14
i	35	99	15	74	37
i	19	26	23	94	29
i	84	58	8	92	37
i	77	98	98	2	92
i	96	51	73	37	78
i	74	37	13	94	30
i	91	18	76	54	60
i	52	44	15	15	78
i	91	21	33	35	38
i	26	41	98	88	29
i	95	73	40	42	58
i	53	44	54	76	89
i	55	76	7	21	8
i	59	8	8	13	86
i	6	45	87	84	55
i	2	34	12	34	57
i	92	62	17	34	99
i	76	25	76	20	27
i	48	41	60	78	32
c
c
W	1214
c	end of file
