c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	100	67	53	16	57
i	54	17	53	2	2
i	16	87	97	91	9
i	23	44	50	47	76
i	10	10	57	41	42
i	7	27	26	50	94
i	80	91	87	64	60
i	65	94	56	9	53
i	30	4	76	34	66
i	52	27	36	90	66
i	61	77	87	30	89
i	99	34	87	57	4
i	35	39	96	100	4
i	60	9	38	15	79
i	84	78	100	5	10
i	71	84	26	73	73
i	5	3	2	8	86
i	7	56	10	59	92
i	61	77	87	30	89
i	15	34	30	89	28
i	17	36	80	42	35
i	5	5	50	10	93
i	90	36	74	38	93
i	88	51	5	97	44
i	17	29	27	72	66
i	28	71	100	23	7
i	86	99	16	22	54
i	53	35	2	91	23
i	58	30	95	74	86
i	26	19	9	39	39
i	56	12	50	85	40
i	90	54	17	29	39
i	58	65	62	33	68
i	91	65	15	99	44
i	66	34	34	91	81
i	85	40	62	26	14
i	51	14	90	18	7
i	48	75	33	11	17
i	19	11	82	82	45
i	19	49	61	63	66
i	34	49	6	96	37
i	67	92	12	61	77
i	91	82	92	67	27
i	7	28	59	73	60
i	52	48	48	53	26
i	49	41	30	27	98
i	44	76	1	23	46
i	2	25	80	44	9
i	85	34	85	29	36
i	54	47	66	84	91
c
c
W	1236
c	end of file
