c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	75	42	28	91	32
i	49	12	48	97	97
i	20	91	1	95	13
i	18	39	98	42	71
i	40	40	87	71	72
i	6	26	25	2	93
i	68	79	28	52	48
i	12	41	3	56	53
i	2	76	1	6	38
i	67	42	51	5	81
i	24	93	50	46	52
i	57	92	45	15	62
i	49	53	10	14	65
i	51	53	29	6	70
i	47	41	63	68	73
i	26	39	34	81	28
i	30	28	27	33	11
i	79	28	35	84	64
i	24	93	50	46	52
i	50	69	65	24	63
i	49	68	59	21	67
i	27	27	19	79	62
i	83	29	67	31	86
i	3	66	73	65	59
i	78	90	88	80	74
i	86	29	58	28	65
i	90	3	20	26	58
i	6	88	55	44	76
i	15	87	99	31	43
i	92	38	75	58	5
i	77	33	71	53	61
i	19	83	46	58	68
i	98	5	2	73	8
i	54	28	31	15	7
i	1	69	69	26	16
i	85	40	62	26	67
i	82	45	74	2	38
i	5	79	37	15	21
i	72	64	35	35	98
i	60	43	55	57	7
i	55	17	27	64	58
i	45	70	90	92	8
i	54	45	55	77	90
i	86	60	38	5	39
i	80	29	76	81	54
i	56	48	90	87	58
i	100	32	10	32	55
i	79	49	4	21	86
i	75	24	75	19	73
i	30	23	42	13	67
c
c
W	1268
c	end of file
