c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	30	97	83	46	87
i	11	21	10	6	59
i	15	33	43	37	55
i	78	99	5	2	31
i	45	45	39	76	77
i	81	1	47	24	68
i	87	51	47	24	67
i	14	43	5	58	55
i	29	3	28	33	65
i	85	60	69	23	99
i	49	18	75	71	77
i	84	19	72	42	89
i	91	95	52	56	7
i	40	89	18	95	6
i	61	55	77	82	40
i	23	36	31	78	25
i	64	62	14	67	98
i	17	13	20	69	2
i	49	18	75	71	77
i	42	61	57	16	55
i	75	94	38	100	93
i	44	44	89	49	32
i	82	28	66	30	85
i	88	4	58	50	97
i	93	5	3	95	89
i	33	76	5	75	12
i	43	56	73	79	11
i	55	84	51	40	25
i	86	58	23	2	14
i	5	98	88	18	18
i	9	65	3	85	93
i	59	70	86	98	8
i	79	86	83	54	89
i	68	95	45	29	21
i	95	63	63	67	57
i	96	51	73	37	25
i	90	53	82	10	46
i	87	61	72	97	56
i	99	91	62	62	25
i	97	27	92	41	44
i	58	20	30	20	61
i	17	42	62	11	80
i	90	81	91	13	26
i	23	97	75	42	76
i	31	80	80	85	58
i	46	38	27	77	95
i	93	25	3	25	48
i	68	38	93	57	75
i	39	35	86	83	37
i	72	12	31	2	56
c
c
W	1458
c	end of file
