c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	60	27	13	76	17
i	68	78	67	63	16
i	61	32	42	36	54
i	33	7	13	10	86
i	27	27	74	58	59
i	2	22	21	98	89
i	47	58	54	31	27
i	16	45	7	7	4
i	81	55	27	32	64
i	18	93	2	56	79
i	37	6	63	59	65
i	69	4	4	74	74
i	94	51	55	59	63
i	67	69	45	22	86
i	91	85	7	12	17
i	28	41	36	83	30
i	23	74	73	79	57
i	27	23	30	79	59
i	37	6	63	59	65
i	22	88	84	96	82
i	33	52	43	5	98
i	36	36	28	88	71
i	74	20	58	22	77
i	41	4	11	3	50
i	16	28	26	71	65
i	38	81	10	80	17
i	100	13	30	36	68
i	4	86	53	42	74
i	61	86	98	30	42
i	84	77	67	97	97
i	62	18	56	38	46
i	75	86	2	14	24
i	100	7	4	28	10
i	98	72	22	6	51
i	71	39	92	96	86
i	54	9	84	95	36
i	82	45	21	2	38
i	73	100	58	36	42
i	79	71	42	42	5
i	28	58	70	72	22
i	29	44	1	91	32
i	67	92	12	14	30
i	89	80	90	12	25
i	92	13	44	58	45
i	63	59	59	64	37
i	43	35	77	74	45
i	95	27	5	27	50
i	81	51	6	23	88
i	40	89	40	84	38
i	37	30	49	20	74
c
c
W	1377
c	end of file
