c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	40	7	93	56	97
i	93	3	92	88	41
i	71	42	52	46	64
i	60	81	87	84	13
i	93	93	87	24	25
i	59	79	78	55	46
i	13	24	20	97	93
i	67	96	58	58	55
i	32	6	78	36	15
i	39	14	23	77	53
i	32	1	58	54	13
i	29	17	17	87	87
i	76	80	37	41	92
i	53	2	31	8	19
i	77	71	93	98	3
i	61	74	69	16	63
i	34	85	84	37	68
i	87	36	90	92	72
i	32	1	58	54	13
i	8	27	23	82	21
i	1	20	64	26	19
i	27	27	72	79	62
i	6	52	90	54	9
i	82	98	52	44	91
i	18	30	28	73	67
i	71	14	43	13	50
i	72	85	2	8	40
i	2	84	51	40	72
i	2	74	39	71	83
i	68	61	51	81	81
i	3	6	97	79	34
i	5	69	85	44	7
i	63	70	67	38	73
i	84	58	8	92	37
i	61	29	29	86	76
i	16	18	93	4	45
i	67	30	59	87	23
i	23	50	8	86	92
i	59	51	22	22	85
i	10	40	5	54	57
i	39	54	11	1	42
i	14	92	59	61	77
i	93	37	47	69	82
i	22	96	74	88	75
i	41	37	37	42	15
i	2	94	83	33	4
i	40	72	50	72	95
i	76	46	1	18	83
i	83	32	83	27	81
i	71	11	30	1	55
c
c
W	1139
c	end of file
