c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	75	42	28	91	32
i	38	1	90	86	86
i	48	19	29	23	41
i	56	77	36	80	9
i	49	49	96	80	81
i	72	92	91	68	59
i	33	44	40	17	13
i	16	45	7	60	4
i	6	80	52	10	42
i	49	24	33	87	10
i	38	7	64	60	19
i	13	48	1	71	18
i	48	52	9	13	64
i	63	12	41	18	29
i	12	6	28	33	91
i	35	48	43	90	37
i	81	79	78	84	62
i	32	81	35	37	17
i	38	7	64	60	19
i	21	87	83	95	81
i	22	94	85	47	40
i	31	31	76	36	19
i	10	56	94	58	13
i	32	95	2	94	88
i	83	42	40	85	79
i	42	85	14	37	74
i	67	80	97	3	35
i	4	33	100	89	74
i	88	60	25	57	69
i	2	48	85	68	15
i	100	56	94	76	84
i	47	11	27	86	49
i	76	83	80	51	86
i	19	93	96	27	72
i	70	38	91	95	85
i	34	89	11	75	16
i	74	37	13	41	77
i	80	7	65	43	49
i	19	11	82	82	45
i	21	51	16	65	68
i	27	42	99	89	30
i	39	17	84	86	2
i	70	61	71	46	6
i	14	35	66	80	67
i	25	74	21	26	52
i	80	19	61	58	29
i	39	71	49	71	94
i	96	66	21	85	3
i	6	55	6	50	57
i	62	55	74	92	46
c
c
W	1101
c	end of file
