c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	45	12	98	61	2
i	45	55	44	40	93
i	74	45	55	49	67
i	63	84	90	87	16
i	58	5	52	36	37
i	85	52	51	28	72
i	61	72	68	45	41
i	63	92	54	7	51
i	3	77	49	7	86
i	34	62	71	25	48
i	36	52	62	58	64
i	72	7	60	30	30
i	93	97	54	58	62
i	24	73	2	79	90
i	17	11	33	38	96
i	21	34	29	76	23
i	18	16	68	21	52
i	69	18	25	74	54
i	36	52	62	58	64
i	23	89	85	97	83
i	91	10	54	16	9
i	88	88	80	40	23
i	91	84	75	39	94
i	50	13	20	12	59
i	2	14	12	57	51
i	81	24	53	23	60
i	33	46	63	69	1
i	57	86	53	42	27
i	87	59	24	3	15
i	13	59	96	79	26
i	24	80	18	100	8
i	3	14	30	42	52
i	77	84	81	52	87
i	77	51	1	85	30
i	72	40	40	97	87
i	27	29	4	68	56
i	43	6	82	10	46
i	66	93	51	29	35
i	92	84	2	55	65
i	82	12	77	26	29
i	31	46	3	93	34
i	95	20	40	89	58
i	55	46	56	31	91
i	70	91	22	36	23
i	48	97	97	2	75
i	59	51	40	90	8
i	51	83	8	30	53
i	66	36	91	8	73
i	74	70	21	18	72
i	65	5	24	95	49
c
c
W	1355
c	end of file
