c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	70	37	23	86	27
i	8	71	7	56	56
i	42	13	23	17	35
i	77	51	57	54	30
i	66	66	13	97	98
i	67	87	86	10	54
i	8	19	15	92	35
i	12	41	3	56	100
i	27	1	73	31	63
i	90	65	74	28	4
i	6	75	32	28	34
i	58	93	46	16	16
i	80	84	41	45	49
i	21	70	99	76	87
i	89	83	5	10	68
i	57	70	65	12	59
i	42	93	92	98	76
i	44	93	47	49	29
i	6	75	32	28	34
i	17	36	32	91	30
i	33	5	96	58	51
i	62	9	54	14	97
i	71	17	55	19	74
i	6	69	76	68	62
i	89	1	99	44	38
i	67	10	39	9	46
i	52	65	82	88	20
i	6	88	55	44	76
i	4	76	41	73	85
i	84	30	67	50	97
i	80	36	27	9	64
i	46	57	73	85	95
i	6	13	10	81	16
i	49	23	73	57	2
i	68	36	36	93	83
i	25	80	55	66	7
i	20	83	59	40	76
i	34	61	19	97	3
i	92	84	55	55	18
i	80	10	75	24	27
i	38	100	10	100	41
i	70	48	15	17	33
i	76	67	77	52	12
i	63	37	15	29	16
i	75	24	71	76	2
i	28	20	9	59	30
i	3	35	13	82	5
i	25	95	50	67	32
i	53	2	53	97	51
i	57	97	16	87	41
c
c
W	1175
c	end of file
