c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	5	72	58	21	62
i	95	58	94	43	43
i	94	65	75	69	87
i	11	85	91	88	17
i	84	84	31	15	16
i	46	66	65	89	33
i	93	4	100	77	20
i	65	94	56	9	6
i	5	79	4	9	41
i	29	57	13	20	43
i	26	95	5	48	7
i	98	33	86	56	3
i	51	8	65	69	20
i	90	92	68	45	9
i	42	36	58	10	68
i	40	53	95	42	42
i	40	38	90	43	21
i	42	91	45	47	27
i	26	95	52	48	7
i	48	67	63	22	61
i	80	99	43	5	98
i	23	23	15	75	58
i	2	48	86	50	5
i	85	48	2	94	41
i	6	18	16	61	2
i	47	90	19	42	26
i	24	90	7	60	92
i	53	35	2	91	23
i	16	88	53	85	44
i	81	27	64	47	94
i	53	9	47	29	37
i	16	27	43	55	65
i	50	57	54	25	60
i	49	23	73	57	2
i	99	67	67	24	14
i	45	100	22	86	74
i	13	76	5	33	69
i	19	93	4	29	35
i	99	91	62	62	25
i	99	29	94	43	46
i	51	13	23	13	54
i	89	67	34	36	52
i	69	60	70	92	5
i	30	4	82	96	83
i	57	53	53	58	31
i	77	69	58	55	26
i	41	73	51	73	96
i	9	79	34	51	16
i	7	56	7	51	58
i	80	20	39	10	64
c
c
W	1250
c	end of file
