c	instance Type (null)
c
n	50
g	1
c	w1	v1	v2	v3	v4
i	90	57	43	6	47
i	72	35	71	20	20
i	7	78	88	82	100
i	41	62	68	65	94
i	62	62	9	93	94
i	76	96	95	72	63
i	54	18	14	91	34
i	65	94	56	56	53
i	80	54	26	84	63
i	98	73	82	36	12
i	25	94	51	47	53
i	1	89	89	59	59
i	50	54	11	15	19
i	47	96	25	2	66
i	68	62	84	89	47
i	33	46	88	35	35
i	35	33	32	38	16
i	84	33	40	89	69
i	25	94	51	47	53
i	49	68	64	23	62
i	91	10	1	63	56
i	75	75	67	27	10
i	66	12	50	14	69
i	94	57	11	56	50
i	92	4	2	94	88
i	90	33	15	85	22
i	57	70	87	93	25
i	6	35	2	91	76
i	89	61	26	58	70
i	63	56	46	76	76
i	15	71	9	91	99
i	91	55	71	30	93
i	74	81	78	49	84
i	28	2	52	36	28
i	100	68	68	25	15
i	65	20	42	6	47
i	74	37	13	94	30
i	12	86	97	22	28
i	59	4	22	75	85
i	6	36	48	50	53
i	53	15	25	15	56
i	17	95	62	64	80
i	35	79	89	11	24
i	8	82	60	74	61
i	42	91	38	96	69
i	93	32	74	71	42
i	97	29	54	76	99
i	94	64	19	36	1
i	41	90	41	85	92
i	55	48	67	85	39
c
c
W	1422
c	end of file
